trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
S&M Smasher,footbagmoves,Atomic Barrage,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: barrage,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Slapstick,footbagmoves,Pixie Spinning Paradox Whirl,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Smashwalk,footbagmoves,Atomic Miraging Butterfly,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Spender,footbagmoves,spinning paradox blender,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Stepping Ducking DLO,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Stepping Pdx Torque,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Sumo Thong,footbagmoves,Nuclear Ducking Mirage,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Superduperfly,footbagmoves,Spinning Symposium Double Over Down,approximate_formula,external_only,structurally_placed,partial_recognition,Slice R canonical-gap; some operators not in IFPA registry,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Surgery,footbagmoves,surging symposium reverse whirl,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Surreal,footbagmoves,surging paradox whirl,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Terminator,footbagmoves,Nuclear Double Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Timberwulff,footbagmoves,Leaning Torque,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: leaning,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Tofu,footbagmoves,Quantum Blender,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Torch-r Rack,footbagmoves,Stepping Superfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: superfly,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Triadon,footbagmoves,Toe set os Triple Over Down,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: toe,set,os",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Triage,footbagmoves,Triple Mirage,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Trifly,footbagmoves,Far Triple Over Down,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Tunguska,footbagmoves,Atomic Ducking Double Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Venom,footbagmoves,surging barfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Voodoo,footbagmoves,Paradox Merlin,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Whirlwind,footbagmoves,spinning symposium whirl,exact_formula,divergent,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Whirlygig,footbagmoves,Blurry Symposium Whirl,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Wookie,footbagmoves,Pixie Wonton Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: wonton,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
84,footbagmoves,Wiggle Butterfly,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: wiggle,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Aeon Flux,footbagmoves,Nuclear Osis,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Amadeus,footbagmoves,Gyro Dada Curve,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: dada,curve",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Arachnophobia,footbagmoves,Stepping Diving Double Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Atomic DLO,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Atomic Drifter,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Avalanche,footbagmoves,Stepping Ducking Pdx Illusion,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: pdx,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Barroque,footbagmoves,Barraging Osis,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Bedwetter,footbagmoves,Blurry Eggbeater,policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Bigwalk,footbagmoves,surging butterfly,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Blacula,footbagmoves,Symposium Double Over Down,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: over,down",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Bladerunner,footbagmoves,Atomic Eggbeater,approximate_formula,external_only,structurally_placed,curator_review_pending,structurally clean decomposition; curator decides on canonical promotion,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,Slice R canonical-gap; structurally clean; no Wave 2 dependency
Blurrier,footbagmoves,Stepping Double Over Down,no_formula_available,external_only,unknown,folk_derived,folk name; mechanical decomposition uncertain,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,folk-derived; no mechanical decomposition
Blurriest,footbagmoves,Stepping Barfly,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Blurry Drifter,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
